gene	Mean_Feature_Posterior	CPDwd	CPDwd_stderr	CPDwd_min	CPDwd_q25	CPDwd_q75	CPDwd_p_val	CPDwd_p_adjust	CPDwd_signif	Droso_gene_name	PrimaryFBgn
g13354	0.931904762	-0.00704376	0.000183494	-0.007348432	-0.008180156	-0.005740059	1	1	notsig	M9MSA6	FBgn0000535
g13493	0.806470588	0.000786625	0.000314897	0.000263773	-0.001577571	0.003814983	0.007067951	1	notsig	TNKS	FBgn0027508
g13494	0.934	-0.006849689	0.000174317	-0.007139124	-0.008106411	-0.005636015	1	1	notsig	Q8IN89	FBgn0042693
g13662	0.897777778	-0.004596308	0.000259153	-0.005026603	-0.005849414	-0.003757261	1	1	notsig	O77062	FBgn0026439
g13782	0.986	-0.000588523	0.000317031	-0.001114918	-0.002694609	0.00066391	0.966811977	1	notsig	Q9VSA5	FBgn0035813
g13818	0.916428571	-0.005657553	0.000119334	-0.005855695	-0.006525739	-0.004824415	1	1	notsig	A1Z9W2	FBgn0053506
g13832	0.855689655	-0.002115768	0.00012778	-0.002327933	-0.002800774	-0.001442088	1	1	notsig	M9PC23	FBgn0261836
g14069	0.89	-0.003863819	0.000153356	-0.00411845	-0.004878526	-0.002755847	1	1	notsig	Q7KUD7	FBgn0036043
g14081	0.964444444	-0.002654775	0.000108724	-0.002835299	-0.003396549	-0.001891433	1	1	notsig	Q24090	FBgn0011715
g14176	0.756111111	0.000253058	0.00013307	3.21E-05	-0.00036683	0.001122934	0.030059439	1	notsig	Q7KSQ2	FBgn0262081
g14230	0.976666667	-0.001234014	0.000208604	-0.001580379	-0.002833714	-0.000192402	0.999999976	1	notsig	A0A0B4KFS9	FBgn0024232
g14253	0.936666667	-0.004658147	0.000127834	-0.004870401	-0.005456514	-0.003785382	1	1	notsig	M9PD08	FBgn0020443
g14337	0.90625	-0.003660893	0.000104447	-0.003834315	-0.004172869	-0.002998564	1	1	notsig	O18680	FBgn0020764
g1441	0.91	-0.000374823	0.000122924	-0.000578925	-0.001128101	0.00053101	0.998528305	1	notsig	BGBP2	FBgn0040322
g1665	0.967272727	-0.009760698	0.000157847	-0.010022785	-0.010658045	-0.008854717	1	1	notsig	Q9VL01	FBgn0032213
g1821	0.936	-0.004558978	0.00033248	-0.005111025	-0.006206343	-0.004127916	1	1	notsig	UNC5	FBgn0034013
g1900	0.945555556	-0.016217912	0.000340827	-0.016783818	-0.018286292	-0.013595525	1	1	notsig	Q8IND5	FBgn0038348
g1930	0.97	-0.00114417	0.000223154	-0.001514692	-0.002461511	-0.001142599	0.99999927	1	notsig	M9MRW0	FBgn0261934
g1990	0.871428571	-0.004889046	0.000203198	-0.005226433	-0.006378162	-0.003582079	1	1	notsig	Q9VWG4	FBgn0031034
g215	0.992	-0.001146314	0.000232394	-0.001532178	-0.002692716	0.000343531	0.999998362	1	notsig	OVO	FBgn0003028
g2150	0.888571429	-0.000654206	7.67E-05	-0.000781517	-0.001043076	-0.000139436	1	1	notsig	Q8SXX2	FBgn0032536
g2347	0.977469051	-0.000719915	0.00014679	-0.000963645	-0.001855228	0.000119802	0.999998161	1	notsig	Q7KQP6	FBgn0005666
g2348	0.998695652	-0.00094589	0.00053131	-0.001828073	-0.004146582	-0.001678613	0.960952312	1	notsig	L0MPZ1	FBgn0005666
g2352	0.90375	-0.002742483	0.000225087	-0.003116215	-0.003980819	-0.002021017	1	1	notsig	DS	FBgn0284247
g240	0.905	-0.003860721	0.000178258	-0.004156699	-0.005053649	-0.00251311	1	1	notsig	A8JUX3	FBgn0030617
g2432	0.802222222	-0.002081591	5.57E-05	-0.002174065	-0.002457659	-0.001753007	1	1	notsig	A0A0B4K7J4	FBgn0262869
g2446	0.919375	-0.007854405	0.000177335	-0.00814885	-0.008943887	-0.00689935	1	1	notsig	Q9I7V4	FBgn0042098
g2809	0.79	-0.001985497	0.00031601	-0.002510198	-0.003745239	-0.001877465	0.999999996	1	notsig	C6A13	FBgn0033304
g286	0.920285714	-0.006362554	0.000196076	-0.006688116	-0.007654161	-0.00520133	1	1	notsig	M9PGZ0	FBgn0086906
g2861	0.996	0.000885557	0.000701081	-0.000278512	-0.004894824	0.008982653	0.104754506	1	notsig	ITBX	FBgn0004657
g287	0.89	-0.005720885	0.000214939	-0.006077768	-0.006711914	-0.005047153	1	1	notsig	CP18A	FBgn0010383
g3088	0.8875	-0.007745463	0.000144976	-0.007986181	-0.008828733	-0.006839081	1	1	notsig	Q86B83	FBgn0053099
g3093	0.947368421	-0.007419277	0.000171687	-0.007704345	-0.008685658	-0.006163516	1	1	notsig	Q9VLT3	FBgn0267488
g3244	0.991111111	-0.00553252	0.000328405	-0.0060778	-0.007957266	-0.002987423	1	1	notsig	Q9VN28	FBgn0037252
g3321	0.885833333	-0.006173808	0.000125146	-0.006381599	-0.006952966	-0.005317983	1	1	notsig	TRH	FBgn0262139
g3447	0.815	-0.000456792	0.000327126	-0.000999949	-0.002570824	-6.12E-06	0.9171384	1	notsig	GRM	FBgn0019985
g3456	0.78	-0.003702467	0.000105799	-0.003878135	-0.004305697	-0.003079119	1	1	notsig	Q9W4N5	FBgn0029690
g3585	0.931818182	-0.014455107	0.00022631	-0.014830871	-0.016168867	-0.012900396	1	1	notsig	CAD87	FBgn0037963
g359	1	-0.012928395	0.000370244	-0.013543146	-0.015902631	-0.010271705	1	1	notsig	Q9W068	FBgn0262624
g3709	0.874285714	-0.006412718	0.000223193	-0.006783305	-0.00755061	-0.005063002	1	1	notsig	A0A126GV30	FBgn0015589
g3797	0.98	-0.012489579	0.000274668	-0.012945635	-0.014268532	-0.010626569	1	1	notsig	DRONC	FBgn0026404
g3838	0.935	-0.012483846	0.000181622	-0.012785409	-0.013915155	-0.011088495	1	1	notsig	Q9VIJ5	FBgn0032884
g3886	0.8505	-0.00024284	0.000114052	-0.00043221	-0.000551711	0.000433797	0.982141039	1	notsig	Q9I7P4	FBgn0001311
g3953	0.9225	-0.006423418	0.0001763	-0.006716145	-0.00751971	-0.005029281	1	1	notsig	Q9W3C4	FBgn0041629
g3960	0.768421053	-0.002288419	0.000127081	-0.002499423	-0.002887069	-0.001311405	1	1	notsig	Q9VJC6	FBgn0013810
g4157	0.988	-0.003216722	0.000148215	-0.003462817	-0.004202485	-0.002094406	1	1	notsig	Q7KU30	FBgn0020445
g4233	0.875555556	0.000803217	0.000474034	1.61E-05	-0.001916576	0.002255549	0.046663718	1	notsig	Q8IPJ6	FBgn0259749
g4329	0.9975	-0.003332378	0.000346833	-0.003908257	-0.007011622	-0.000505696	1	1	notsig	Q7K1D7	FBgn0033196
g4446	0.948493151	-0.006066709	0.000211111	-0.006417235	-0.007426199	-0.004441268	1	1	notsig	Q9VXG7	FBgn0030746
g4489	0.963333333	-0.007251432	0.000175115	-0.007542191	-0.008420412	-0.006016638	1	1	notsig	M9PES4	FBgn0040823
g4542	0.85244898	-0.005115699	0.000113969	-0.005304932	-0.005807499	-0.004377162	1	1	notsig	A1Z9M5	FBgn0050069
g4549	0.818571429	-0.011908477	0.000282781	-0.012378004	-0.013911886	-0.009949199	1	1	notsig	NCD	FBgn0002924
g4558	0.75	-0.004747541	0.000819193	-0.006107723	-0.011022212	0.00111499	0.999999959	1	notsig	ATLAS	FBgn0039213
g4631	1	-0.005373791	0.000212264	-0.005726233	-0.006728291	-0.004056934	1	1	notsig	MO25	FBgn0017572
g4730	0.94	-0.005804327	0.000353535	-0.006391333	-0.007826476	-0.005153327	1	1	notsig	C6A14	FBgn0033302
g4737	0.851621622	-0.006388246	0.000213154	-0.006742166	-0.007840604	-0.00505681	1	1	notsig	Q9VL64	FBgn0259712
g5041	0.827142857	-0.018961989	0.00025476	-0.019384991	-0.02055511	-0.017188646	1	1	notsig	A8JR46	FBgn0261984
g510	0.9075	-0.005172334	0.000133786	-0.005394471	-0.006207939	-0.004283243	1	1	notsig	Q9VAL5	FBgn0004369
g5110	0.94875	-0.002284544	0.000137179	-0.002512315	-0.002943814	-0.001382094	1	1	notsig	TOP3B	FBgn0026015
g5130	0.955	-0.008398755	0.000181654	-0.008700371	-0.009773688	-0.007333479	1	1	notsig	Q9V480	FBgn0039938
g5135	0.857142857	-0.012148803	0.000193459	-0.012470021	-0.013588373	-0.010810382	1	1	notsig	KLP68	FBgn0004381
g5143	0.908181818	-0.001112919	0.00015632	-0.001372471	-0.001999218	-0.000544442	1	1	notsig	VATH	FBgn0027779
g5170	0.868888889	6.99E-06	0.000390057	-0.000640659	-0.004241283	0.003469951	0.492870862	1	notsig	OSA	FBgn0261885
g52	0.896	-0.004875968	0.000138909	-0.005106611	-0.005904933	-0.003843761	1	1	notsig	M9MS70	FBgn0261803
g5250	0.7775	-0.002683912	0.00019924	-0.003014728	-0.003982855	-0.001235702	1	1	notsig	Q9VML8	FBgn0031745
g5284	0.829411765	-0.002405015	0.000255713	-0.002829599	-0.003748104	-0.001804031	1	1	notsig	Q9VUC1	FBgn0026418
g5481	0.882325581	-0.012971477	0.000551207	-0.013886696	-0.016139631	-0.010467792	1	1	notsig	Q9VPI3	FBgn0051973
g5486	0.942142857	-0.005852562	0.000204373	-0.006191901	-0.00680455	-0.004534604	1	1	notsig	DORS	FBgn0260632
g5593	0.997333333	-0.014629711	0.000305561	-0.015137062	-0.016743296	-0.012728073	1	1	notsig	Q9VHK1	FBgn0262614
g5614	0.919583333	0.000158151	0.000176252	-0.000134497	-0.000853001	0.000596375	0.185869081	1	notsig	Q9VJ80	FBgn0032685
g5736	0.98	0.000275165	0.000200391	-5.76E-05	-0.000740696	0.000784531	0.086405565	1	notsig	Q9VY87	FBgn0030521
g5766	0.929411765	-0.006041655	0.000339422	-0.006605229	-0.00799678	-0.005501066	1	1	notsig	O18680	FBgn0020764
g5921	0.77	-0.001755267	0.000607847	-0.00276453	-0.007127659	0.001598142	0.9976168	1	notsig	ATPB	FBgn0010217
g5984	0.7675	-0.000763688	0.000308965	-0.00127669	-0.003180663	0.002097023	0.992424403	1	notsig	M9PFA5	FBgn0011259
g6097	0.89	-0.0009646	7.74E-05	-0.001093052	-0.001530266	-0.000430513	1	1	notsig	Q9W2Z3	FBgn0263132
g6135	0.915773196	-0.001436703	0.000288017	-0.001914924	-0.003317982	-0.000650495	0.999998698	1	notsig	M9PF16	FBgn0250788
g6185	0.924	-0.001469249	0.000171619	-0.001754204	-0.002744427	-0.000747395	1	1	notsig	Q9VZS1	FBgn0035425
g6212	0.81375	-0.008367579	0.000191682	-0.008685845	-0.009401441	-0.00713867	1	1	notsig	Q9VIX3	FBgn0041789
g6231	0.816666667	-0.00479666	0.000229326	-0.005177431	-0.00602531	-0.003128436	1	1	notsig	M9PCT1	FBgn0028399
g6430	0.818888889	-0.003157895	0.000294211	-0.0036464	-0.004684015	-0.002682658	1	1	notsig	RYK1	FBgn0015380
g6507	0.985882353	-0.009036001	0.000178024	-0.009331591	-0.010250365	-0.007781938	1	1	notsig	E1JJL4	FBgn0004598
g6813	0.875555556	-0.004321504	0.000333456	-0.004875171	-0.005955149	-0.003959056	1	1	notsig	A0A0B4K813	FBgn0039883
g6906	0.964	-0.002358495	0.000237454	-0.002752762	-0.003626363	-0.001947984	1	1	notsig	A1ZA05	FBgn0026370
g6929	0.882222222	-0.005841007	0.000260797	-0.006274031	-0.007567422	-0.003931237	1	1	notsig	Q9VCY1	FBgn0038989
g705	0.803333333	-0.004279139	0.000180607	-0.004579017	-0.005562582	-0.002897516	1	1	notsig	M9MRU0	FBgn0261563
g7160	0.760555556	0.000326698	0.000204766	-1.33E-05	-0.00158061	0.002244177	0.056896886	1	notsig	EXD	FBgn0000611
g7170	0.998333333	-0.004514116	0.000128749	-0.00472789	-0.005381337	-0.003635103	1	1	notsig	Q9VML8	FBgn0031745
g7171	0.9	0.000379432	0.000364691	-0.000226098	-0.001762897	0.001805348	0.150339735	1	notsig	ATLAS	FBgn0039213
g7275	0.794545455	-0.004122476	0.000159216	-0.004386837	-0.005088052	-0.003240784	1	1	notsig	E1JHE1	FBgn0032243
g7283	0.988333333	-0.005079655	0.000123242	-0.005284285	-0.005783318	-0.004312273	1	1	notsig	FTZF1	FBgn0001078
g7461	0.790714286	-0.003141259	0.00027723	-0.003601569	-0.004677056	-0.001476041	1	1	notsig	Q9W2P5	FBgn0034564
g7475	0.971428571	-0.005151874	0.00015026	-0.005401364	-0.006118922	-0.004140023	1	1	notsig	M9PB77	FBgn0011259
g7963	0.970555556	9.24E-05	0.000141312	-0.000142197	-0.000269356	0.001089767	0.257272789	1	notsig	Q9VAL5	FBgn0004369
g8004	0.913333333	-0.003260174	0.000212747	-0.003613417	-0.004564463	-0.001487344	1	1	notsig	CYCL	FBgn0023094
g803	0.936666667	-0.001257673	0.000422147	-0.001958602	-0.003422988	-0.001040221	0.998182487	1	notsig	Q9VNP7	FBgn0037203
g8072	0.99	-0.005031482	0.000201948	-0.005366795	-0.006405624	-0.003686667	1	1	notsig	Q9VZK1	FBgn0035482
g8096	0.84961039	-0.004811371	0.000371624	-0.005428413	-0.006806842	-0.003120514	1	1	notsig	BOWEL	FBgn0004893
g8150	0.952777778	-0.008977592	0.000183432	-0.00928216	-0.010136693	-0.007885523	1	1	notsig	A1Z8R0	FBgn0033668
g8177	0.931	-0.011764865	0.000521344	-0.0126305	-0.015326255	-0.009537576	1	1	notsig	A8DYR2	FBgn0085409
g8450	0.8675	-0.000526106	0.000197084	-0.000853342	-0.001985127	0.001209327	0.99555981	1	notsig	Q9VLH8	FBgn0029123
g8457	0.784444444	-0.000493907	8.85E-05	-0.000640776	-0.001089883	-0.000132157	0.999999897	1	notsig	A0A0B4KGY5	FBgn0002962
g8758	0.778333333	-0.005656625	0.000143635	-0.005895116	-0.006571045	-0.004702601	1	1	notsig	Q7JUS9	FBgn0034497
g8867	0.97	-0.001349264	0.000194015	-0.001671405	-0.002325323	-0.001117616	1	1	notsig	Q9VNH5	FBgn0037372
g9030	0.895348837	-0.021309675	0.000670544	-0.02242304	-0.02648045	-0.016812225	1	1	notsig	A1Z7T4	FBgn0020621
g9236	0.751666667	-0.004213636	0.000170089	-0.004496051	-0.005238009	-0.00346707	1	1	notsig	E1JIQ1	FBgn0024963
g9282	0.901666667	-0.002299512	0.000422556	-0.003001119	-0.004958652	-0.001251483	0.999999809	1	notsig	DUOX	FBgn0283531
g9381	0.76	-0.007970301	0.000190685	-0.008286913	-0.009314189	-0.006759161	1	1	notsig	Q9VTG6	FBgn0036143
g9403	0.868947368	-0.004861746	0.000162744	-0.005131965	-0.005818857	-0.003693587	1	1	notsig	THADA	FBgn0031077
g9546	0.852	-0.002040428	0.000215875	-0.002398866	-0.003069114	-0.001792699	1	1	notsig	DAR1	FBgn0263239
g961	0.844482759	-0.002799907	0.000107769	-0.002978845	-0.003430725	-0.002036207	1	1	notsig	NINAC	FBgn0002938
g9647	0.896518519	-0.005077767	0.000221449	-0.005445458	-0.006506051	-0.004257932	1	1	notsig	GBB1	FBgn0001105
g9711	0.943	-0.001079645	0.000277137	-0.001539801	-0.002996692	-0.000214165	0.999910978	1	notsig	DUOX	FBgn0283531
g9923	0.893333333	-0.005592752	0.000412157	-0.006277094	-0.007460639	-0.005378894	1	1	notsig	D0IQK3	FBgn0052626
g9953	0.751666667	-0.000510567	4.78E-05	-0.00058997	-0.000879774	-0.000159853	1	1	notsig	Q7K3Q2	FBgn0038652
g9959	0.998	-0.013844002	0.000421946	-0.014544597	-0.016994874	-0.010845247	1	1	notsig	Q9VGE6	FBgn0037978
